2026-05-19 20:11:27 | MEDIUM   | port_scan        | src=10.0.0.99              dst=-                      | 16 unique destination ports contacted in 60s (threshold=15) | extra={"unique_ports": [1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015], "unique_port_count": 16, "window_seconds": 60, "threshold": 15}
2026-05-19 20:11:27 | HIGH     | dns_anomaly      | src=10.0.0.7               dst=8.8.8.8                | DNS query with 76-char domain name (threshold=50) — possible DNS tunneling | extra={"domain": "aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.tunnel.evil.com", "domain_length": 76, "threshold": 50}
2026-05-19 20:11:30 | LOW      | large_transfer   | src=10.0.0.5               dst=203.0.113.9            | TCP connection transferred 10.0 MB (threshold=10 MB) | extra={"bytes_transferred": 10485888, "threshold_bytes": 10485760}
2026-05-19 20:29:40 | MEDIUM   | port_scan        | src=10.0.0.99              dst=-                      | 16 unique destination ports contacted in 60s (threshold=15) | extra={"unique_ports": [1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015], "unique_port_count": 16, "window_seconds": 60, "threshold": 15}
2026-05-19 20:29:40 | HIGH     | dns_anomaly      | src=10.0.0.7               dst=8.8.8.8                | DNS query with 76-char domain name (threshold=50) — possible DNS tunneling | extra={"domain": "aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.tunnel.evil.com", "domain_length": 76, "threshold": 50}
2026-05-19 20:29:42 | LOW      | large_transfer   | src=10.0.0.5               dst=203.0.113.9            | TCP connection transferred 10.0 MB (threshold=10 MB) | extra={"bytes_transferred": 10485888, "threshold_bytes": 10485760}
2026-05-19 20:30:28 | HIGH     | dns_anomaly      | src=10.16.98.107           dst=8.8.8.8                | DNS query with 57-char domain name (threshold=50) — possible DNS tunneling | extra={"domain": "presence-public-service-prod.social.live.on.epicgames.com", "domain_length": 57, "threshold": 50}
2026-05-19 20:30:50 | HIGH     | dns_anomaly      | src=10.16.98.107           dst=8.8.8.8                | DNS query with 53-char domain name (threshold=50) — possible DNS tunneling | extra={"domain": "69449f0be70d5551d6ae80ef07a9d8be.azr.footprintdns.com", "domain_length": 53, "threshold": 50}
2026-05-19 20:42:11 | MEDIUM   | port_scan        | src=10.0.0.99              dst=-                      | 16 unique destination ports contacted in 60s (threshold=15) | extra={"unique_ports": [1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015], "unique_port_count": 16, "window_seconds": 60, "threshold": 15}
2026-05-19 20:42:11 | HIGH     | dns_anomaly      | src=10.0.0.7               dst=8.8.8.8                | DNS query with 76-char domain name (threshold=50) — possible DNS tunneling | extra={"domain": "aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.tunnel.evil.com", "domain_length": 76, "threshold": 50}
2026-05-19 20:42:13 | LOW      | large_transfer   | src=10.0.0.5               dst=203.0.113.9            | TCP connection transferred 10.0 MB (threshold=10 MB) | extra={"bytes_transferred": 10485888, "threshold_bytes": 10485760}
2026-05-19 20:44:37 | HIGH     | dns_anomaly      | src=10.16.98.107           dst=8.8.8.8                | DNS query with 53-char domain name (threshold=50) — possible DNS tunneling | extra={"domain": "ae0de9084c10edf9bec5d94651113a23.claudemcpcontent.com", "domain_length": 53, "threshold": 50}
